"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","169724000103665152_1","2025-06-26","Gujarat","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582793"
"DELIVERED","169724759396091206_1","2025-06-26","Karnataka","Dish Drainer Kitchen Rack Steel Multipurpose Containers Kitchen Rack Modular Kitchen Storage Rack (Pack of 2)","2 dish racks","Free Size","1","250.0","250.0","KP9YAJU02578884"
"RTO_COMPLETE","169726660007200064_1","2025-06-26","Maharashtra","Cable Management Box - White | Wire Bin | Power Strip, Cords, Surge Protector Hiding Cover Organizer | Hide Loose Wire for Home Office Desk Desktop Floor & Keep Children and Pet Safe","Cable Management Box","Free Size","1","260.0","260.0","KP9YAJU02582789"
"DELIVERED","169738973723153920_1","2025-06-26","Odisha","Rice Pot Drainer Stand | Stainless Steel Stand for Fruit, Beans, Noodle Strainer | Cooked Rice Strainer Stand | Hands Free Rice Drainer Stand","V Ricepot","Free Size","1","140.0","140.0","KP9YAJU02578850"
"DELIVERED","169743691054089536_1","2025-06-26","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582796"
"DELIVERED","169743936091950592_1","2025-06-26","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582801"
"DELIVERED","169747581298987136_1","2025-06-26","Gujarat","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582838"
"RTO_COMPLETE","169763407002701249_1","2025-06-26","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582797"
"DELIVERED","169769032803976512_1","2025-06-26","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582799"
"DELIVERED","169783053984761156_1","2025-06-26","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582794"
"DELIVERED","169792984463626368_1","2025-06-26","West Bengal","Stainless Steel Bathroom Wall Hook 6 Hooks Cloth Hanger Bathroom Wall Door Hook Magic Sticker Self Adhesive for Bathroom Towel Rail Kitchen Hanger Hooks Capacity-5 Kg, Silver","Stainless Steel Bathroom Wall Hook 6","Free Size","1","220.0","220.0","KP9YAJU02578988"
"DELIVERED","169793782799061120_1","2025-06-26","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","270.0","270.0","KP9YAJU02582798"
"DELIVERED","169839459001732736_1","2025-06-26","Maharashtra","Stainless Steel Bathroom Wall Hook 6 Hooks Cloth Hanger Bathroom Wall Door Hook Magic Sticker Self Adhesive for Bathroom Towel Rail Kitchen Hanger Hooks Capacity-5 Kg, Silver","Stainless Steel Bathroom Wall Hook 6","Free Size","2","220.0","220.0","KP9YAJU02582790"
"CANCELLED","169858772780027264_1","2025-06-26","Kerala","Air Fryer Reusable Silicone Pot, 6.8 inch Non-Stick Air Fryer Liners Ear Handles Airfryer Tray","alfwith#%$BM","Free Size","1","170.0","170.0",
