"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","158519877513073792_1","2025-05-26","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226294"
"RTO_LOCKED","158534768231816192_1","2025-05-26","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226290"
"DELIVERED","158537788646577280_1","2025-05-26","Chhattisgarh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226293"
"DELIVERED","158540253672610816_1","2025-05-26","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226291"
"DELIVERED","158541149605304256_1","2025-05-26","Tamilnadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226292"
"RTO_COMPLETE","158553788855196694_1","2025-05-26","Haryana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226300"
"DELIVERED","158560591089325185_1","2025-05-26","Delhi","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","3","282.0","282.0","KP9PLYM02226458"
"DELIVERED","158570153922628352_1","2025-05-26","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","282.0","282.0","KP9PLYM02226296"
"DELIVERED","158594818841352128_1","2025-05-26","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226297"
"DELIVERED","158616749829884672_1","2025-05-26","Odisha","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226298"
"DELIVERED","158621430404174976_1","2025-05-26","Punjab","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226486"
"DELIVERED","158632810276530880_1","2025-05-26","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226449"
"RTO_COMPLETE","158648406548518851_1","2025-05-27","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226466"
"DELIVERED","158676766720890816_1","2025-05-27","Uttar Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226467"
"DELIVERED","158733196593277632_1","2025-05-27","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226468"
"DELIVERED","158765031080168192_1","2025-05-27","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226469"
"DELIVERED","158776683036496325_1","2025-05-27","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","2","298.0","298.0","KP9PLYM02226473"
"DELIVERED","158782562913833408_1","2025-05-27","Puducherry","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9PLYM02226470"
